State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
HIMACHAL PRADESH,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
JAMMU & KASHMIR,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
JHARKHAND,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
KARNATAKA,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,2,0,0,2
KERALA,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,4,2,1,0,7
MADHYA PRADESH,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
MAHARASHTRA,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,1,1,1,0,3
MANIPUR,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
MEGHALAYA,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
MIZORAM,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
NAGALAND,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
ORISSA,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
PUNJAB,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
RAJASTHAN,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
SIKKIM,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
TAMIL NADU,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
TRIPURA,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
UTTAR PRADESH,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,9,0,0,0,9
UTTARAKHAND,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
WEST BENGAL,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,2,0,0,2
TOT (STATES),BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,18,8,3,0,29
A & N ISLANDS,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
CHANDIGARH,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
D & N HAVELI,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
DAMAN & DIU,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
DELHI,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,1,0,0,0,1
LAKSHADWEEP,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
PUDUCHERRY,BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,0,0,0,0,0
TOT (UTS),BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,1,0,0,0,1
TOT (ALL INDIA),BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT),0,19,8,3,0,30
ANDHRA PRADESH,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
ARUNACHAL PRADESH,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
ASSAM,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
BIHAR,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
CHHATTISGARH,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
GOA,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
GUJARAT,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
HARYANA,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
HIMACHAL PRADESH,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
JAMMU & KASHMIR,OTHER SECTIONS OF IT ACT,0,6,4,0,0,10
JHARKHAND,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
KARNATAKA,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
KERALA,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
MADHYA PRADESH,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
MAHARASHTRA,OTHER SECTIONS OF IT ACT,9,84,49,8,1,151
MANIPUR,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
MEGHALAYA,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
MIZORAM,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
NAGALAND,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
ORISSA,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
PUNJAB,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
RAJASTHAN,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
SIKKIM,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
TAMIL NADU,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
TRIPURA,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
UTTAR PRADESH,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
UTTARAKHAND,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
WEST BENGAL,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
TOT (STATES),OTHER SECTIONS OF IT ACT,9,90,53,8,1,161
A & N ISLANDS,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
CHANDIGARH,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
D & N HAVELI,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
DAMAN & DIU,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
DELHI,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
LAKSHADWEEP,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
PUDUCHERRY,OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
TOT (UTS),OTHER SECTIONS OF IT ACT,0,0,0,0,0,0
TOT (ALL INDIA),OTHER SECTIONS OF IT ACT,9,90,53,8,1,161
ANDHRA PRADESH,TOTAL IT ACT,9,180,94,13,0,296
ARUNACHAL PRADESH,TOTAL IT ACT,0,0,5,0,0,5
ASSAM,TOTAL IT ACT,0,2,0,0,0,2
BIHAR,TOTAL IT ACT,0,16,6,0,0,22
CHHATTISGARH,TOTAL IT ACT,0,19,16,0,0,35
GOA,TOTAL IT ACT,0,4,4,2,0,10
GUJARAT,TOTAL IT ACT,0,28,14,8,1,51
HARYANA,TOTAL IT ACT,1,29,24,3,1,58
HIMACHAL PRADESH,TOTAL IT ACT,0,9,4,0,0,13
JAMMU & KASHMIR,TOTAL IT ACT,0,9,6,1,0,16
JHARKHAND,TOTAL IT ACT,0,5,2,0,0,7
KARNATAKA,TOTAL IT ACT,0,45,45,3,1,94
KERALA,TOTAL IT ACT,9,73,52,17,0,151
MADHYA PRADESH,TOTAL IT ACT,2,104,44,13,2,165
MAHARASHTRA,TOTAL IT ACT,17,214,161,31,3,426
MANIPUR,TOTAL IT ACT,0,0,0,0,0,0
MEGHALAYA,TOTAL IT ACT,0,0,0,0,0,0
MIZORAM,TOTAL IT ACT,0,0,0,0,0,0
NAGALAND,TOTAL IT ACT,0,0,0,0,0,0
ORISSA,TOTAL IT ACT,0,20,21,0,0,41
PUNJAB,TOTAL IT ACT,4,57,58,3,1,123
RAJASTHAN,TOTAL IT ACT,2,80,42,11,0,135
SIKKIM,TOTAL IT ACT,0,0,0,0,0,0
TAMIL NADU,TOTAL IT ACT,0,18,12,12,1,43
TRIPURA,TOTAL IT ACT,1,10,2,0,0,13
UTTAR PRADESH,TOTAL IT ACT,0,213,65,5,0,283
UTTARAKHAND,TOTAL IT ACT,0,2,1,0,0,3
WEST BENGAL,TOTAL IT ACT,0,26,27,5,0,58
TOT (STATES),TOTAL IT ACT,45,1163,705,127,10,2050
A & N ISLANDS,TOTAL IT ACT,0,3,0,0,0,3
CHANDIGARH,TOTAL IT ACT,0,7,0,0,0,7
D & N HAVELI,TOTAL IT ACT,0,0,0,0,0,0
DAMAN & DIU,TOTAL IT ACT,0,0,2,0,0,2
DELHI,TOTAL IT ACT,0,17,14,3,0,34
LAKSHADWEEP,TOTAL IT ACT,0,0,0,0,0,0
PUDUCHERRY,TOTAL IT ACT,0,0,1,1,0,2
TOT (UTS),TOTAL IT ACT,0,27,17,4,0,48
TOT (ALL INDIA),TOTAL IT ACT,45,1190,722,131,10,2098
ANDHRA PRADESH,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
ARUNACHAL PRADESH,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
ASSAM,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
BIHAR,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
CHHATTISGARH,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
GOA,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
GUJARAT,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
HARYANA,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
HIMACHAL PRADESH,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
JAMMU & KASHMIR,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
JHARKHAND,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,2,0,0,0,2
KARNATAKA,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
KERALA,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
MADHYA PRADESH,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
MAHARASHTRA,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
MANIPUR,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
MEGHALAYA,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
MIZORAM,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
NAGALAND,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
ORISSA,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
PUNJAB,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
RAJASTHAN,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
SIKKIM,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
TAMIL NADU,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
TRIPURA,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
UTTAR PRADESH,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
UTTARAKHAND,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
WEST BENGAL,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
TOT (STATES),"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,2,0,0,0,2
A & N ISLANDS,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
CHANDIGARH,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
D & N HAVELI,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
DAMAN & DIU,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
DELHI,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
LAKSHADWEEP,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
PUDUCHERRY,"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
TOT (UTS),"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,0,0,0,0,0
TOT (ALL INDIA),"OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",0,2,0,0,0,2
ANDHRA PRADESH,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
ARUNACHAL PRADESH,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
ASSAM,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
BIHAR,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
CHHATTISGARH,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
GOA,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
GUJARAT,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
HARYANA,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
HIMACHAL PRADESH,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
JAMMU & KASHMIR,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
JHARKHAND,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
KARNATAKA,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
KERALA,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,6,0,1,0,7
MADHYA PRADESH,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
MAHARASHTRA,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
MANIPUR,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
MEGHALAYA,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
MIZORAM,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
NAGALAND,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
ORISSA,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
PUNJAB,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
RAJASTHAN,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
SIKKIM,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
TAMIL NADU,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
TRIPURA,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
UTTAR PRADESH,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
UTTARAKHAND,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
WEST BENGAL,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
TOT (STATES),FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,6,0,1,0,7
A & N ISLANDS,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
CHANDIGARH,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
D & N HAVELI,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
DAMAN & DIU,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
DELHI,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
LAKSHADWEEP,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
PUDUCHERRY,FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
TOT (UTS),FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,0,0,0,0,0
TOT (ALL INDIA),FALSE ELECTRONIC EVIDENCE (SECTION 193 IPC),0,6,0,1,0,7
ANDHRA PRADESH,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
ARUNACHAL PRADESH,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
ASSAM,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
BIHAR,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
CHHATTISGARH,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
GOA,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
GUJARAT,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
HARYANA,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,3,0,0,0,3
HIMACHAL PRADESH,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
JAMMU & KASHMIR,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
JHARKHAND,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
KARNATAKA,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
KERALA,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
MADHYA PRADESH,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
MAHARASHTRA,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
MANIPUR,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
MEGHALAYA,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
MIZORAM,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
NAGALAND,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
ORISSA,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,1,0,0,1
PUNJAB,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
RAJASTHAN,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
SIKKIM,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
TAMIL NADU,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
TRIPURA,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
UTTAR PRADESH,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
UTTARAKHAND,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
WEST BENGAL,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
TOT (STATES),"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,3,1,0,0,4
A & N ISLANDS,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
CHANDIGARH,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
D & N HAVELI,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
DAMAN & DIU,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
DELHI,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
LAKSHADWEEP,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
PUDUCHERRY,"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
TOT (UTS),"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,0,0,0,0,0
TOT (ALL INDIA),"DESTRUCTION OF ELECTRONIC EVIDENCE (SECTION 204, 477 IPC)",0,3,1,0,0,4
ANDHRA PRADESH,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,2,0,0,0,2
ARUNACHAL PRADESH,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
ASSAM,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
BIHAR,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,2,70,1,0,73
CHHATTISGARH,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,2,4,1,0,7
GOA,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,1,0,0,1
GUJARAT,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,1,0,0,1
HARYANA,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,15,35,17,3,70
HIMACHAL PRADESH,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
JAMMU & KASHMIR,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
JHARKHAND,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,1,0,0,0,1
KARNATAKA,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,1,0,0,0,1
KERALA,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,1,2,5,0,8
MADHYA PRADESH,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,2,2,1,0,5
MAHARASHTRA,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,59,82,14,1,156
MANIPUR,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
MEGHALAYA,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
MIZORAM,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
NAGALAND,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
ORISSA,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,3,15,2,0,20
PUNJAB,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,2,0,0,2
RAJASTHAN,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,4,2,0,0,6
SIKKIM,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
TAMIL NADU,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,16,9,0,0,25
TRIPURA,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
UTTAR PRADESH,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,143,68,8,0,219
UTTARAKHAND,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
WEST BENGAL,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,10,7,3,0,20
TOT (STATES),"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,261,300,52,4,617
A & N ISLANDS,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
CHANDIGARH,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,2,0,0,0,2
D & N HAVELI,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
DAMAN & DIU,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
DELHI,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,5,2,0,7
LAKSHADWEEP,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
PUDUCHERRY,"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,0,0,0,0,0
TOT (UTS),"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,2,5,2,0,9
TOT (ALL INDIA),"FORGERY (SECTION 463, 465, 466, 468, 469, 471, 474, 476, 477A IPC)",0,263,305,54,4,626
