State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
PUDUCHERRY,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
TOT (UTS),LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,14,9,3,0,26
TOT (ALL INDIA),LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),10,454,307,44,3,818
ANDHRA PRADESH,HACKING (SECTION 66(2) IT ACT),1,9,1,0,0,11
ARUNACHAL PRADESH,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
ASSAM,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
BIHAR,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
CHHATTISGARH,HACKING (SECTION 66(2) IT ACT),0,3,3,0,0,6
GOA,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
GUJARAT,HACKING (SECTION 66(2) IT ACT),0,11,3,2,0,16
HARYANA,HACKING (SECTION 66(2) IT ACT),0,0,4,2,1,7
HIMACHAL PRADESH,HACKING (SECTION 66(2) IT ACT),0,0,1,0,0,1
JAMMU & KASHMIR,HACKING (SECTION 66(2) IT ACT),0,1,0,0,0,1
JHARKHAND,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
KARNATAKA,HACKING (SECTION 66(2) IT ACT),0,19,25,0,0,44
KERALA,HACKING (SECTION 66(2) IT ACT),0,4,4,0,0,8
MADHYA PRADESH,HACKING (SECTION 66(2) IT ACT),0,3,2,1,1,7
MAHARASHTRA,HACKING (SECTION 66(2) IT ACT),1,5,11,0,0,17
MANIPUR,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
MEGHALAYA,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
MIZORAM,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
NAGALAND,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
ORISSA,HACKING (SECTION 66(2) IT ACT),0,0,12,0,0,12
PUNJAB,HACKING (SECTION 66(2) IT ACT),0,6,7,1,0,14
RAJASTHAN,HACKING (SECTION 66(2) IT ACT),0,2,4,0,0,6
SIKKIM,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
TAMIL NADU,HACKING (SECTION 66(2) IT ACT),0,2,0,0,0,2
TRIPURA,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
UTTAR PRADESH,HACKING (SECTION 66(2) IT ACT),0,10,6,0,0,16
UTTARAKHAND,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
WEST BENGAL,HACKING (SECTION 66(2) IT ACT),0,6,2,0,0,8
TOT (STATES),HACKING (SECTION 66(2) IT ACT),2,81,85,6,2,176
A & N ISLANDS,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
CHANDIGARH,HACKING (SECTION 66(2) IT ACT),0,6,0,0,0,6
D & N HAVELI,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
DAMAN & DIU,HACKING (SECTION 66(2) IT ACT),0,0,2,0,0,2
DELHI,HACKING (SECTION 66(2) IT ACT),0,5,3,0,0,8
LAKSHADWEEP,HACKING (SECTION 66(2) IT ACT),0,0,0,0,0,0
PUDUCHERRY,HACKING (SECTION 66(2) IT ACT),0,0,1,0,0,1
TOT (UTS),HACKING (SECTION 66(2) IT ACT),0,11,6,0,0,17
TOT (ALL INDIA),HACKING (SECTION 66(2) IT ACT),2,92,91,6,2,193
ANDHRA PRADESH,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),7,70,30,0,0,107
ARUNACHAL PRADESH,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,3,0,0,3
ASSAM,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,2,0,0,0,2
BIHAR,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,2,0,0,0,2
CHHATTISGARH,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,4,0,0,0,4
GOA,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,4,4,2,0,10
GUJARAT,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,4,2,2,0,8
HARYANA,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,5,1,0,0,6
HIMACHAL PRADESH,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,6,3,0,0,9
