"STATE/UT","CRIME HEAD","YEAR","Below 18 Years","Between 18-30 Years","Between 30-45 Years","Between 45-60 Years","Above 60 Years","Total"
"SIKKIM","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"TAMIL NADU","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"TRIPURA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"UTTAR PRADESH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"UTTARAKHAND","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"WEST BENGAL","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (STATES)","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,3,3,0,6
"A & N ISLANDS","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"CHANDIGARH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"D & N HAVELI","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"DAMAN & DIU","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"DELHI","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"LAKSHADWEEP","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"PUDUCHERRY","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (UTs)","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2010,0,0,3,3,0,6
"ANDHRA PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"ARUNACHAL PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"ASSAM","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"BIHAR","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"CHHATTISGARH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"GOA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"GUJARAT","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"HARYANA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"HIMACHAL PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"JAMMU & KASHMIR","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"JHARKHAND","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"KARNATAKA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,2,0,0,2
"KERALA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"MADHYA PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"MAHARASHTRA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"MANIPUR","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"MEGHALAYA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"MIZORAM","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"NAGALAND","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"ORISSA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"PUNJAB","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"RAJASTHAN","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"SIKKIM","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"TAMIL NADU","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"TRIPURA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"UTTAR PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,1,1,0,0,2
"UTTARAKHAND","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"WEST BENGAL","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (STATES)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,1,3,0,0,4
"A & N ISLANDS","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"CHANDIGARH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"D & N HAVELI","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"DAMAN & DIU","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"DELHI","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"LAKSHADWEEP","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"PUDUCHERRY","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (UTs)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2010,0,1,3,0,0,4
"ANDHRA PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"ARUNACHAL PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"ASSAM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"BIHAR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"CHHATTISGARH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"GOA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"GUJARAT","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"HARYANA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"HIMACHAL PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"JAMMU & KASHMIR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"JHARKHAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"KARNATAKA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"KERALA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,1,0,0,0,1
"MADHYA PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"MAHARASHTRA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"MANIPUR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"MEGHALAYA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"MIZORAM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"NAGALAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"ORISSA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"PUNJAB","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,1,0,0,1
"RAJASTHAN","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"SIKKIM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"TAMIL NADU","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"TRIPURA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"UTTAR PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"UTTARAKHAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"WEST BENGAL","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (STATES)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,1,1,0,0,2
"A & N ISLANDS","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"CHANDIGARH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"D & N HAVELI","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"DAMAN & DIU","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"DELHI","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"LAKSHADWEEP","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"PUDUCHERRY","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (UTs)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2010,0,1,1,0,0,2
"ANDHRA PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"ARUNACHAL PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"ASSAM","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"BIHAR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"CHHATTISGARH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,3,0,0,0,3
"GOA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"GUJARAT","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"HARYANA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"HIMACHAL PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,1,0,0,1
"JAMMU & KASHMIR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"JHARKHAND","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"KARNATAKA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"KERALA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"MADHYA PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"MAHARASHTRA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"MANIPUR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"MEGHALAYA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"MIZORAM","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"NAGALAND","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"ORISSA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"PUNJAB","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"RAJASTHAN","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"SIKKIM","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"TAMIL NADU","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"TRIPURA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"UTTAR PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"UTTARAKHAND","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"WEST BENGAL","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (STATES)","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,3,1,0,0,4
"A & N ISLANDS","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"CHANDIGARH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"D & N HAVELI","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"DAMAN & DIU","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"DELHI","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"LAKSHADWEEP","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"PUDUCHERRY","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (UTs)","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2010,0,3,1,0,0,4
"ANDHRA PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"ARUNACHAL PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"ASSAM","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"BIHAR","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"CHHATTISGARH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"GOA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"GUJARAT","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"HARYANA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"HIMACHAL PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"JAMMU & KASHMIR","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"JHARKHAND","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"KARNATAKA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"KERALA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,1,0,0,1
"MADHYA PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"MAHARASHTRA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"MANIPUR","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"MEGHALAYA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"MIZORAM","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"NAGALAND","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"ORISSA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,7,9,5,2,23
"PUNJAB","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,2,0,0,2
"RAJASTHAN","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"SIKKIM","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"TAMIL NADU","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"TRIPURA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"UTTAR PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,1,0,0,0,1
"UTTARAKHAND","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"WEST BENGAL","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (STATES)","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,8,12,5,2,27
"A & N ISLANDS","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"CHANDIGARH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"D & N HAVELI","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"DAMAN & DIU","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"DELHI","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"LAKSHADWEEP","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"PUDUCHERRY","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (UTs)","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2010,0,8,12,5,2,27
"ANDHRA PRADESH","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"ARUNACHAL PRADESH","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"ASSAM","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"BIHAR","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"CHHATTISGARH","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"GOA","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"GUJARAT","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"HARYANA","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"HIMACHAL PRADESH","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"JAMMU & KASHMIR","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"JHARKHAND","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"KARNATAKA","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"KERALA","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"MADHYA PRADESH","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"MAHARASHTRA","OTHER SECTIONS OF IT ACT",2010,0,10,5,2,0,17
"MANIPUR","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"MEGHALAYA","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"MIZORAM","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"NAGALAND","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"ORISSA","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
"PUNJAB","OTHER SECTIONS OF IT ACT",2010,0,0,0,0,0,0
